Date,Day,UrchinID,Treatment,BuddyPair,Distance (cm) travelled in 30 sec (predator flight response),NumUrchinsDeployedAtBuoy,BuoyNumber,UrchinTestDiameter(mm),Righting time on release day (sec),Righting time over 180 sec (0/1) (deployment day),AggregationScore,Righting time post-24h (sec),Righting time over 180 sec (0/1) (post 24h)
12-May-16,1,Wild 1,wildcontrol,Faye&Aneesh,40,,,77,50,0,11,,
12-May-16,1,Wild 2,wildcontrol,Faye&Aneesh,25,,,48,30,0,13,,
12-May-16,1,Wild 3,wildcontrol,Faye&Aneesh,30,,,48,43,0,12,,
12-May-16,1,Wild 4,wildcontrol,Faye&Aneesh,30,,,71,124,0,22,,
12-May-16,1,Wild 5,wildcontrol,Faye&Aneesh,15,,,68,50,0,6,,
12-May-16,1,Wild 6,wildcontrol,Haley&Tasha,17,,,36.9,56,0,2,,
12-May-16,1,Wild 7,wildcontrol,Haley&Tasha,7,,,52.2,62,0,9,,
12-May-16,1,Wild 8,wildcontrol,Haley&Tasha,17,,,65.6,36,0,16,,
12-May-16,1,Wild 9,wildcontrol,Haley&Tasha,4,,,63.7,44,0,6,,
12-May-16,1,Wild 10 ,wildcontrol,Nikos&Jeff,25,,,46,40,0,27,,
12-May-16,1,Wild 11,wildcontrol,Nikos&Jeff,10,,,74,20,0,12,,
12-May-16,1,Wild 12,wildcontrol,Nikos&Jeff,30,,,60,15,0,15,,
12-May-16,1,Wild 13,wildcontrol,Nikos&Jeff,25,,,77,45,0,15,,
12-May-16,1,Wild 14,wildcontrol,Nikos&Jeff,20,,,80,65,0,18,,
12-May-16,1,Wild 15,wildcontrol,Nikos&Jeff,30,,,80,30,0,9,,
13-May-16,2,Wild 20,wildcontrol,Haley&Tasha,2,,,79.9,,1,16,,
13-May-16,2,Wild 21,wildcontrol,Haley&Tasha,12,,,59.4,83,0,15,,
13-May-16,2,Wild 22,wildcontrol,Haley&Tasha,11,,,65.5,,1,20,,
13-May-16,2,Wild 23,wildcontrol,Haley&Tasha,18,,,71.6,12,0,22,,
13-May-16,2,Wild 24,wildcontrol,Faye&Aneesh,,,,72,34,0,21,,
